AID,SERVICE,MID
7-1128224,arkivet,26-112213
7-1128224,arkivet,26-112214
7-1130954,arkivet,26-60924
7-1128255,arkivet,26-79260
7-1126296,arkivet,26-112146
7-1126296,arkivet,26-112128
7-1126296,arkivet,26-112147
7-1121981,arkivet,26-112108
7-1121981,arkivet,26-112109
7-1121981,arkivet,26-112110
7-1117576,arkivet,26-112074
7-1117576,arkivet,26-112073
7-1117576,arkivet,26-112072
7-1109665,arkivet,26-56897
7-1109665,arkivet,26-56904
7-1109665,arkivet,26-56910
7-1109665,arkivet,26-56921
7-1109665,arkivet,26-95566
7-1104785,arkivet,26-112021
7-1104785,arkivet,26-112002
7-1104785,arkivet,26-112005
7-1104785,arkivet,26-112001
7-1104785,arkivet,26-112011
7-1104785,arkivet,26-112007
7-1104785,arkivet,26-112008
7-1104785,arkivet,26-112003
7-1104785,arkivet,26-112000
7-1104785,arkivet,26-112004
7-1104785,arkivet,26-112006
7-1104785,arkivet,26-112013
7-1104785,arkivet,26-112009
7-1103286,arkivet,26-111982
7-1103286,arkivet,26-111983
7-1103286,arkivet,26-111985
7-1103286,arkivet,26-111981
7-1103286,arkivet,26-111980
7-1103286,arkivet,26-111979
7-1103286,arkivet,26-111978
7-1103286,arkivet,26-111995
7-1103286,arkivet,26-111994
7-1103286,arkivet,26-111996
7-1091850,arkivet,26-108303
7-1091850,arkivet,26-60151
7-1091850,arkivet,26-107990
7-1082986,arkivet,26-111782
7-1082986,arkivet,26-111778
7-1082986,arkivet,26-111773
7-1071879,arkivet,26-57156
7-1074073,arkivet,26-111634
7-1074073,arkivet,26-58921
7-1074073,arkivet,26-58922
7-1074073,arkivet,26-58923
7-1074073,arkivet,26-111635
7-1074073,arkivet,26-67631
7-1074073,arkivet,26-67632
7-1074073,arkivet,26-58974
7-1074073,arkivet,26-58975
7-1074073,arkivet,26-111637
7-1074073,arkivet,26-111636
7-1068838,arkivet,26-61572
7-1068838,arkivet,26-58134
7-1068838,arkivet,26-61570
7-1068838,arkivet,26-64032
7-1068838,arkivet,26-62864
7-1068838,arkivet,26-69626
7-1068838,arkivet,26-56830
7-1068838,arkivet,26-59002
7-1068838,arkivet,26-58916
7-1068838,arkivet,26-69625
7-1068838,arkivet,26-55427
7-1068838,arkivet,26-58968
7-1068838,arkivet,26-58971
7-1068838,arkivet,26-58970
