"vuosi","nimi","kuvan_url","tietoja_sivu"
"1917","P.E. Svinhufvud","https://upload.wikimedia.org/wikipedia/commons/a/a1/P._E._Svinhufvud.png","https://fi.wikipedia.org/wiki/P._E._Svinhufvud"
"1918","Juho Kusti Paasikivi","https://upload.wikimedia.org/wikipedia/commons/d/d6/Paasikivi_fi01_06a.jpg","https://fi.wikipedia.org/wiki/Juho_Kusti_Paasikivi"
"1919","Lauri Ingman (samana vuonna Kaarlo Castrén)","https://upload.wikimedia.org/wikipedia/commons/2/2c/Ingman_Lauri.jpg","https://fi.wikipedia.org/wiki/Lauri_Ingman"
"1920","J.H. Vennola","https://www.kuvakokoelmat.fi/pictures/small/HK19/HK19651109_289.jpg","https://fi.wikipedia.org/wiki/J._H._Vennola"
"1921","Rafael Erich (samana vuonna J.H. Vennola)","https://upload.wikimedia.org/wikipedia/commons/a/af/Rafael-Erich.jpg","https://fi.wikipedia.org/wiki/Rafael_Erich"
"1922","A.K. Cajander","http://img1.liveinternet.ru/images/attach/c/10/111/701/111701095_Akcajander.jpg","https://fi.wikipedia.org/wiki/A._K._Cajander"
"1923","Kyösti Kallio","https://upload.wikimedia.org/wikipedia/commons/2/2e/Ky%C3%B6sti_Kallio.png","https://fi.wikipedia.org/wiki/Ky%C3%B6sti_Kallio"
"1924","A.K. Cajander (samana vuonna Lauri Ingman)","http://img1.liveinternet.ru/images/attach/c/10/111/701/111701095_Akcajander.jpg","https://fi.wikipedia.org/wiki/A._K._Cajander"
"1925","Antti Tulenheimo","https://upload.wikimedia.org/wikipedia/commons/4/49/Antti-Tulenheimo-1939.jpg","https://fi.wikipedia.org/wiki/Antti_Tulenheimo"
"1926","Kyösti Kallio","https://upload.wikimedia.org/wikipedia/commons/2/2e/Ky%C3%B6sti_Kallio.png","https://fi.wikipedia.org/wiki/Ky%C3%B6sti_Kallio"
"1927","Väinö Tanner","https://upload.wikimedia.org/wikipedia/commons/6/66/V%C3%A4in%C3%B6_Tanner.jpg","https://fi.wikipedia.org/wiki/V%C3%A4in%C3%B6_Tanner"
"1928","J.E. Sunila","https://upload.wikimedia.org/wikipedia/commons/d/db/J._E._Sunila.jpg","https://fi.wikipedia.org/wiki/J._E._Sunila"
"1929","Oskari Mantere (samana vuonna Kyösti Kallio)","http://itsenaisyys100.fi/wp-content/uploads/2015/12/1929_Mantere-2.jpg","https://fi.wikipedia.org/wiki/Oskari_Mantere"
"1930","P.E. Svinhufvud","https://upload.wikimedia.org/wikipedia/commons/a/a1/P._E._Svinhufvud.png","https://fi.wikipedia.org/wiki/P._E._Svinhufvud"
"1931","J.E. Sunila","https://upload.wikimedia.org/wikipedia/commons/d/db/J._E._Sunila.jpg","https://fi.wikipedia.org/wiki/J._E._Sunila"
"1932","T.M. Kivimäki","https://upload.wikimedia.org/wikipedia/commons/8/88/Kivim%C3%A4ki_Toivo_Mikael.jpg","https://fi.wikipedia.org/wiki/T._M._Kivim%C3%A4ki"
"1933","T.M. Kivimäki","https://upload.wikimedia.org/wikipedia/commons/8/88/Kivim%C3%A4ki_Toivo_Mikael.jpg","https://fi.wikipedia.org/wiki/T._M._Kivim%C3%A4ki"
"1934","T.M. Kivimäki","https://upload.wikimedia.org/wikipedia/commons/8/88/Kivim%C3%A4ki_Toivo_Mikael.jpg","https://fi.wikipedia.org/wiki/T._M._Kivim%C3%A4ki"
"1935","T.M. Kivimäki","https://upload.wikimedia.org/wikipedia/commons/8/88/Kivim%C3%A4ki_Toivo_Mikael.jpg","https://fi.wikipedia.org/wiki/T._M._Kivim%C3%A4ki"
"1936","Kyösti Kallio","https://upload.wikimedia.org/wikipedia/commons/2/2e/Ky%C3%B6sti_Kallio.png","https://fi.wikipedia.org/wiki/Ky%C3%B6sti_Kallio"
"1937","A.K. Cajander","http://img1.liveinternet.ru/images/attach/c/10/111/701/111701095_Akcajander.jpg","https://fi.wikipedia.org/wiki/A._K._Cajander"
"1938","A.K. Cajander","http://img1.liveinternet.ru/images/attach/c/10/111/701/111701095_Akcajander.jpg","https://fi.wikipedia.org/wiki/A._K._Cajander"
"1939","Risto Ryti","https://upload.wikimedia.org/wikipedia/commons/6/61/Risto_Ryti.png","https://fi.wikipedia.org/wiki/Risto_Ryti"
"1940","Risto Ryti","https://upload.wikimedia.org/wikipedia/commons/6/61/Risto_Ryti.png","https://fi.wikipedia.org/wiki/Risto_Ryti"
"1941","Jukka Rangell","https://upload.wikimedia.org/wikipedia/commons/2/20/Rangell_Jukka.jpg","https://fi.wikipedia.org/wiki/Jukka_Rangell"
"1942","Jukka Rangell","https://upload.wikimedia.org/wikipedia/commons/2/20/Rangell_Jukka.jpg","https://fi.wikipedia.org/wiki/Jukka_Rangell"
"1943","Edwin Linkomies","https://upload.wikimedia.org/wikipedia/commons/9/96/Linkomies_1956.jpeg","https://fi.wikipedia.org/wiki/Edwin_Linkomies"
"1944","Antti Hackzell (samana vuonna Urho Castrén)","http://www.blf.fi/artiklar/foton/733.jpg","https://fi.wikipedia.org/wiki/Antti_Hackzell"
"1945","Juho Kusti Paasikivi","https://upload.wikimedia.org/wikipedia/commons/d/d6/Paasikivi_fi01_06a.jpg","https://fi.wikipedia.org/wiki/Juho_Kusti_Paasikivi"
"1946","Mauno Pekkala","http://www.hs.fi/webkuva/taysi/1920/1421071673172?ts=269","https://fi.wikipedia.org/wiki/Mauno_Pekkala"
"1947","Mauno Pekkala","http://www.hs.fi/webkuva/taysi/1920/1421071673172?ts=269","https://fi.wikipedia.org/wiki/Mauno_Pekkala"
"1948","K.-A. Fagerholm","https://upload.wikimedia.org/wikipedia/commons/9/9e/Karl-August_Fagerholm.jpg","https://fi.wikipedia.org/wiki/K.-A._Fagerholm"
"1949","K.-A. Fagerholm","https://upload.wikimedia.org/wikipedia/commons/9/9e/Karl-August_Fagerholm.jpg","https://fi.wikipedia.org/wiki/K.-A._Fagerholm"
"1950","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1951","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1952","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1953","Sakari Tuomioja","https://upload.wikimedia.org/wikipedia/commons/f/fa/Sakari_Severi_Tuomioja.JPG","https://fi.wikipedia.org/wiki/Sakari_Tuomioja"
"1954","Ralf Törngren","https://upload.wikimedia.org/wikipedia/commons/e/e4/Ralf_T%C3%B6rngren.jpg","https://fi.wikipedia.org/wiki/Ralf_T%C3%B6rngren"
"1954","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1955","Urho Kekkonen","https://upload.wikimedia.org/wikipedia/commons/f/f5/Urho_Kaleva_Kekkonen.jpg","https://fi.wikipedia.org/wiki/Urho_Kekkonen"
"1956","K.-A. Fagerholm","https://upload.wikimedia.org/wikipedia/commons/9/9e/Karl-August_Fagerholm.jpg","https://fi.wikipedia.org/wiki/K.-A._Fagerholm"
"1957","V.J. Sukselainen","https://upload.wikimedia.org/wikipedia/commons/9/92/Vieno_Johannes_Sukselainen.jpg","https://fi.wikipedia.org/wiki/V._J._Sukselainen"
"1958","Rainer von Fieandt (samana vuonna Reino Kuuskoski ja K.-A. Fagerholm)","https://upload.wikimedia.org/wikipedia/commons/4/4f/Rainer_von_Fieandt.jpg","https://fi.wikipedia.org/wiki/Rainer_von_Fieandt"
"1959","V.J. Sukselainen","https://upload.wikimedia.org/wikipedia/commons/9/92/Vieno_Johannes_Sukselainen.jpg","https://fi.wikipedia.org/wiki/V._J._Sukselainen"
"1960","V.J. Sukselainen","https://upload.wikimedia.org/wikipedia/commons/9/92/Vieno_Johannes_Sukselainen.jpg","https://fi.wikipedia.org/wiki/V._J._Sukselainen"
"1961","Martti Miettunen","https://upload.wikimedia.org/wikipedia/commons/2/29/Martti-Miettunen.jpg","https://fi.wikipedia.org/wiki/Martti_Miettunen"
"1962","Ahti Karjalainen","http://www.suomenpankki.fi/fi/suomen_pankki/tapahtumakalenteri/PublishingImages/ahti-karjalainen.jpg","https://fi.wikipedia.org/wiki/Ahti_Karjalainen"
"1963","Reino R. Lehto","http://www.blf.fi/artiklar/foton/1768.jpg","https://fi.wikipedia.org/wiki/Reino_R._Lehto"
"1964","Johannes Virolainen","https://upload.wikimedia.org/wikipedia/commons/c/c4/Johannes_virolainen_1980.jpg","https://fi.wikipedia.org/wiki/Johannes_Virolainen"
"1965","Johannes Virolainen","https://upload.wikimedia.org/wikipedia/commons/c/c4/Johannes_virolainen_1980.jpg","https://fi.wikipedia.org/wiki/Johannes_Virolainen"
"1966","Rafael Paasio","http://www.blf.fi/artiklar/foton/645.jpg","https://fi.wikipedia.org/wiki/Rafael_Paasio"
"1967","Rafael Paasio","http://www.blf.fi/artiklar/foton/645.jpg","https://fi.wikipedia.org/wiki/Rafael_Paasio"
"1968","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1969","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
