"vuosi","nimi","kuvan_url","tietoja_sivu"
"1919","Kaarlo Juho Ståhlberg","https://upload.wikimedia.org/wikipedia/commons/d/d0/Kaarlo_Juho_St%C3%A5hlberg.jpg","https://fi.wikipedia.org/wiki/K._J._St%C3%A5hlberg"
"1920","Kaarlo Juho Ståhlberg","https://upload.wikimedia.org/wikipedia/commons/d/d0/Kaarlo_Juho_St%C3%A5hlberg.jpg","https://fi.wikipedia.org/wiki/K._J._St%C3%A5hlberg"
"1921","Kaarlo Juho Ståhlberg","https://upload.wikimedia.org/wikipedia/commons/d/d0/Kaarlo_Juho_St%C3%A5hlberg.jpg","https://fi.wikipedia.org/wiki/K._J._St%C3%A5hlberg"
"1922","Kaarlo Juho Ståhlberg","https://upload.wikimedia.org/wikipedia/commons/d/d0/Kaarlo_Juho_St%C3%A5hlberg.jpg","https://fi.wikipedia.org/wiki/K._J._St%C3%A5hlberg"
"1923","Kaarlo Juho Ståhlberg","https://upload.wikimedia.org/wikipedia/commons/d/d0/Kaarlo_Juho_St%C3%A5hlberg.jpg","https://fi.wikipedia.org/wiki/K._J._St%C3%A5hlberg"
"1924","Kaarlo Juho Ståhlberg","https://upload.wikimedia.org/wikipedia/commons/d/d0/Kaarlo_Juho_St%C3%A5hlberg.jpg","https://fi.wikipedia.org/wiki/K._J._St%C3%A5hlberg"
"1925","Lauri Kristian Relander","https://upload.wikimedia.org/wikipedia/commons/8/86/Lauri_Kristian_Relander.jpg","https://fi.wikipedia.org/wiki/Lauri_Kristian_Relander"
"1926","Lauri Kristian Relander","https://upload.wikimedia.org/wikipedia/commons/8/86/Lauri_Kristian_Relander.jpg","https://fi.wikipedia.org/wiki/Lauri_Kristian_Relander"
"1927","Lauri Kristian Relander","https://upload.wikimedia.org/wikipedia/commons/8/86/Lauri_Kristian_Relander.jpg","https://fi.wikipedia.org/wiki/Lauri_Kristian_Relander"
"1928","Lauri Kristian Relander","https://upload.wikimedia.org/wikipedia/commons/8/86/Lauri_Kristian_Relander.jpg","https://fi.wikipedia.org/wiki/Lauri_Kristian_Relander"
"1929","Lauri Kristian Relander","https://upload.wikimedia.org/wikipedia/commons/8/86/Lauri_Kristian_Relander.jpg","https://fi.wikipedia.org/wiki/Lauri_Kristian_Relander"
"1930","Lauri Kristian Relander","https://upload.wikimedia.org/wikipedia/commons/8/86/Lauri_Kristian_Relander.jpg","https://fi.wikipedia.org/wiki/Lauri_Kristian_Relander"
"1931","Pehr Evind Svinhufvud","https://upload.wikimedia.org/wikipedia/commons/a/a1/P._E._Svinhufvud.png","https://fi.wikipedia.org/wiki/P._E._Svinhufvud"
"1932","Pehr Evind Svinhufvud","https://upload.wikimedia.org/wikipedia/commons/a/a1/P._E._Svinhufvud.png","https://fi.wikipedia.org/wiki/P._E._Svinhufvud"
"1933","Pehr Evind Svinhufvud","https://upload.wikimedia.org/wikipedia/commons/a/a1/P._E._Svinhufvud.png","https://fi.wikipedia.org/wiki/P._E._Svinhufvud"
"1934","Pehr Evind Svinhufvud","https://upload.wikimedia.org/wikipedia/commons/a/a1/P._E._Svinhufvud.png","https://fi.wikipedia.org/wiki/P._E._Svinhufvud"
"1935","Pehr Evind Svinhufvud","https://upload.wikimedia.org/wikipedia/commons/a/a1/P._E._Svinhufvud.png","https://fi.wikipedia.org/wiki/P._E._Svinhufvud"
"1936","Pehr Evind Svinhufvud","https://upload.wikimedia.org/wikipedia/commons/a/a1/P._E._Svinhufvud.png","https://fi.wikipedia.org/wiki/P._E._Svinhufvud"
"1937","Kyösti Kallio","https://upload.wikimedia.org/wikipedia/commons/2/2e/Ky%C3%B6sti_Kallio.png","https://fi.wikipedia.org/wiki/Ky%C3%B6sti_Kallio"
"1938","Kyösti Kallio","https://upload.wikimedia.org/wikipedia/commons/2/2e/Ky%C3%B6sti_Kallio.png","https://fi.wikipedia.org/wiki/Ky%C3%B6sti_Kallio"
"1939","Kyösti Kallio","https://upload.wikimedia.org/wikipedia/commons/2/2e/Ky%C3%B6sti_Kallio.png","https://fi.wikipedia.org/wiki/Ky%C3%B6sti_Kallio"
