"Vuosi","Miehet 0 - 4","Miehet 5 - 9","Miehet 10 - 14","Miehet 15 - 19","Miehet 20 - 24","Miehet 25 - 29","Miehet 30 - 34","Miehet 35 - 39","Miehet 40 - 44","Miehet 45 - 49","Miehet 50 - 54","Miehet 55 - 59","Miehet 60 - 64","Miehet 65 - 69","Miehet 70 - 74","Miehet 75 - 79","Miehet 80 - 84","Miehet 85 -"
"1917",183700,189100,175800,159100,131700,114800,107300,92300,84900,70300,58400,52800,43100,34100,23000,13400,5200,1700
"1918",178700,187200,178900,156500,129200,108900,103900,91100,83000,74600,53300,52400,42500,33800,22800,13300,5300,1600
"1919",166800,184100,181700,159600,133100,109800,103200,92100,83400,76600,53500,54100,42300,34400,22800,13300,5400,1700
"1920",169600,180500,183700,162100,135800,112700,102300,93000,84100,76600,56800,53900,43000,34600,23000,13600,5800,2000
"1921",173100,175700,185700,165900,141400,114100,104400,97200,85200,76900,60700,52300,44200,34500,23800,13800,6000,2000
"1922",174300,171900,186300,170500,146000,116700,104000,99700,86500,78400,64500,50500,45000,34100,24200,13700,6300,1900
"1923",177000,169500,185100,174700,148200,121100,102900,100500,88300,78300,69300,46700,45400,34100,24600,14000,6500,2000
"1924",182400,162000,182500,178300,152100,125200,104200,100700,89300,78600,70800,46800,46700,33900,25300,14000,6600,2100
"1925",181200,164900,178800,181500,155400,128500,107500,101100,90700,79400,71100,49700,46400,34500,25500,14100,7000,2200
"1926",180000,168600,173900,183400,158800,133500,108200,102000,93100,79800,70800,53100,44900,35500,25200,14700,7100,2400
"1927",178600,170000,169900,183700,163100,137800,110500,101000,94400,80600,72000,56500,43300,36100,24800,15100,7000,2600
"1928",177700,173200,167500,182600,167700,140200,115500,100300,95000,82500,72200,61200,40500,36600,24800,15400,7300,2800
"1929",176400,180100,160100,179900,171400,144000,119500,101100,94300,83200,72600,62700,40900,37600,24600,15800,7300,3200
"1930",175800,179200,162600,175900,174200,147200,122600,103600,93800,84200,73500,62900,43600,37500,25200,16000,7500,3500
"1931",174200,178000,166900,171100,177000,151300,127600,104300,95000,86800,73800,62400,45900,35900,25800,15500,7700,3300
"1932",171600,177200,169200,166800,178100,156000,131900,107000,94500,89000,74900,63500,48600,34500,26300,15100,7900,3200
"1933",166000,175800,173200,164300,177400,160500,134800,111500,94300,90300,76800,63600,52200,31900,26500,14900,7900,3300
"1934",162300,175300,180600,157200,175300,164600,138900,115500,95700,90900,77800,64200,53100,32100,27500,14700,8200,3400
"1935",161900,173300,179000,161200,171800,168700,142100,118600,98900,91400,78700,65200,52700,34100,27200,15100,8100,3500
"1936",161100,171800,177600,165200,167200,170900,145900,123400,99900,92500,80400,65500,52400,36400,26000,15400,7900,3600
"1937",163400,169400,176900,167300,163700,172400,150600,127400,102500,91700,81600,66000,53500,38700,24900,15700,7600,3900
