"Vuosi","Naiset 0 - 4","Naiset 5 - 9","Naiset 10 - 14","Naiset 15 - 19","Naiset 20 - 24","Naiset 25 - 29","Naiset 30 - 34","Naiset 35 - 39","Naiset 40 - 44","Naiset 45 - 49","Naiset 50 - 54","Naiset 55 - 59","Naiset 60 - 64","Naiset 65 - 69","Naiset 70 - 74","Naiset 75 - 79","Naiset 80 - 84","Naiset 85 -"
"1917",177500,183200,172500,154900,130100,118000,112200,98100,89500,74800,64500,61200,51600,43700,31100,19300,8200,3200
"1918",173100,181000,175500,154900,134800,115900,112600,100300,90000,80600,60200,61700,51900,43600,31200,19500,8400,3100
"1919",161500,177800,177900,157000,138600,117000,112000,101500,91000,83100,59900,63800,51900,44200,31400,19700,8600,3200
"1920",163600,174500,179100,159200,140500,119500,111600,102200,92100,83200,63400,63500,52800,44600,31700,20200,9100,3700
"1921",166700,170500,180200,162700,144900,121000,113400,106000,92800,83700,67700,61600,54400,44200,33100,20300,9400,3700
"1922",168000,166600,180400,167000,148400,123900,112400,108600,94300,85500,71500,59700,55500,43900,33500,20300,10000,3800
"1923",170100,164600,178800,171000,149200,129300,111600,109600,97100,86300,77100,55900,56300,44400,34000,20700,10400,4000
"1924",175400,157200,176500,174100,152200,133500,112900,109800,98500,87300,79400,55500,57900,44500,34600,21000,10500,3900
"1925",174100,160000,172700,176900,155100,135400,116300,110500,99700,88800,79500,58800,57700,45400,34900,21600,10800,4400
"1926",173000,163300,168600,178000,158300,139400,117400,111800,102800,89200,79800,62900,55900,46800,34700,22800,11000,4500
"1927",171600,164900,164500,178000,162300,142500,120100,110400,105000,90500,81400,66700,54300,47700,34600,23300,11100,4700
"1928",170800,167700,162300,176400,166300,143300,125400,109400,105600,93200,82100,72100,50800,48600,35000,23700,11300,5100
"1929",170200,174400,155000,173800,169000,145800,129300,110100,105300,94200,82900,74200,50700,49600,35300,24100,11500,5200
"1930",170000,173400,157300,169600,171200,148200,130800,112900,105400,95100,84300,74500,53700,49500,36100,24300,12000,5600
"1931",167800,172100,161700,165400,173100,151900,134700,113500,106400,98200,84300,74600,57200,47400,36900,24000,12300,5600
"1932",165600,171100,164100,161700,173100,156200,138000,116100,105600,101100,85300,76200,60700,45800,37800,23900,12700,5700
"1933",160200,169800,167700,159500,172100,160400,139000,121400,104500,102500,88300,76900,65300,42700,38500,24000,12700,5900
"1934",156800,169800,174900,152600,170100,163800,141900,125400,106200,102400,89700,77400,67600,42500,39700,24300,13100,6100
"1935",155600,168100,173400,156000,167200,166900,144500,127600,109700,102900,90500,78700,68100,45200,39500,24800,13000,6400
"1936",155300,166200,171900,160200,163000,167900,147600,131200,110600,103900,93500,78800,68300,48600,38000,25100,12600,6600
"1937",157300,164300,170800,162500,159900,168200,151900,134300,113200,102600,95600,79500,69700,51500,36700,25600,12500,6900
"1938",163100,159500,169400,165800,158000,167100,156200,135300,118400,101200,96500,82100,70300,55700,34200,26000,12700,7000
"1939",168200,156900,169400,172500,151300,165200,159400,138100,122400,102600,96100,83300,70800,57700,34300,26800,12700,7200
"1940",166108,155830,167611,170663,154395,162241,162394,140520,124629,105692,96330,83990,71757,58276,36685,26065,13034,6797
"1941",174981,155593,166436,168540,157870,158266,163243,143615,127378,107087,97528,86728,72052,58831,39263,25354,13210,6758
"1942",170176,156916,164866,167271,159452,154791,163199,147687,129992,109520,97028,88564,72973,60075,41673,24655,13225,6707
"1943",170661,161781,160583,166244,162176,153023,162111,151788,130660,114209,96316,89955,74881,60796,44894,23215,13717,6670
"1944",170749,165808,157863,166190,168243,146123,160279,154523,133239,117616,97614,90002,75981,61564,46179,23418,14278,6511
"1945",184275,163731,155465,166055,166452,149205,157365,157486,135714,119430,100295,90584,76870,62472,46530,25330,14271,6631
"1946",192940,172709,154763,165037,164629,152717,153443,158339,138878,122325,101304,91687,79329,62617,47323,27406,13999,6805
"1947",214622,168313,155511,163753,163389,154260,149886,158475,142893,125152,103477,91013,81067,63376,48067,29129,13716,6738
"1948",230817,168350,159690,159408,162094,156603,147809,157408,146780,125812,108253,89787,82247,64866,48412,31191,12689,6913
"1949",243696,169255,163681,156686,162432,162868,140909,155602,149654,128410,111956,90672,81790,65571,48596,31803,12752,6930
"1950",245981,184226,162066,153628,161708,160732,143738,152427,152545,130873,113997,92949,81840,65941,48973,31503,13813,6702
"1951",239089,192292,171231,152018,159909,158510,146988,148443,153533,134325,117132,94616,83037,68271,49161,31919,14737,6435
"1952",233183,213866,167200,152856,158767,157994,149123,145352,154328,138632,120457,97411,82778,70096,49987,32670,15715,6319
"1953",225667,229455,167588,157156,154389,157252,152092,143829,153799,142903,121475,102520,82330,71509,51478,32922,16649,5883
