"Vuosi","Väkiluku"
"1917",3134300
"1918",3115300
"1919",3118000
"1920",3147600
"1921",3193200
"1922",3227800
"1923",3258600
"1924",3286200
"1925",3322100
"1926",3355200
"1927",3380600
"1928",3412100
"1929",3435300
"1930",3462700
"1931",3489600
"1932",3516000
"1933",3536600
"1934",3561600
"1935",3589600
"1936",3612400
"1937",3640200
"1938",3672100
"1939",3699700
"1940",3695617
"1941",3707815
"1942",3708801
"1943",3732532
"1944",3737096
"1945",3778890
"1946",3833072
"1947",3885284
"1948",3937840
"1949",3987996
"1950",4029803
"1951",4064727
"1952",4116228
"1953",4162609
"1954",4211191
"1955",4258571
"1956",4304832
"1957",4343190
"1958",4376314
"1959",4413046
"1960",4446222
"1961",4475787
"1962",4507098
"1963",4539519
"1964",4557567
"1965",4569896
"1966",4591842
"1967",4619645
"1968",4633292
"1969",4614277
"1970",4598336
"1971",4625912
"1972",4653401
"1973",4678761
"1974",4702387
"1975",4720492
"1976",4730836
"1977",4746967
"1978",4758088
"1979",4771292
"1980",4787778
"1981",4812150
"1982",4841715
"1983",4869858
"1984",4893748
"1985",4910664
"1986",4925644
"1987",4938602
"1988",4954359
"1989",4974383
"1990",4998478
"1991",5029002
"1992",5054982
"1993",5077912
"1994",5098754
"1995",5116826
"1996",5132320
"1997",5147349
"1998",5159646
"1999",5171302
"2000",5181115
"2001",5194901
"2002",5206295
"2003",5219732
"2004",5236611
"2005",5255580
"2006",5276955
"2007",5300484
"2008",5326314
"2009",5351427
"2010",5375276
"2011",5401267
"2012",5426674
"2013",5451270
"2014",5471753
"2015",5487308
"2016",5487308
