"";"name1";"measurement"
"2";"Helsinki Kaisaniemi";"-4.8"
"12";"Helsinki Kaisaniemi";"-8.6"
"22";"Helsinki Kaisaniemi";"-9.5"
"32";"Helsinki Kaisaniemi";"-8.5"
"42";"Helsinki Kaisaniemi";"-8.9"
"52";"Helsinki Kaisaniemi";"-0.3"
"62";"Helsinki Kaisaniemi";"-8.3"
"72";"Helsinki Kaisaniemi";"-6.4"
"82";"Helsinki Kaisaniemi";"0.0"
"92";"Helsinki Kaisaniemi";"-0.7"
"102";"Helsinki Kaisaniemi";"3.3"
"112";"Helsinki Kaisaniemi";"4.6"
"122";"Helsinki Kaisaniemi";"4.2"
"132";"Helsinki Kaisaniemi";"3.7"
"142";"Helsinki Kaisaniemi";"-1.2"
"152";"Helsinki Kaisaniemi";"-7.4"
"162";"Helsinki Kaisaniemi";"-6.2"
"172";"Helsinki Kaisaniemi";"-1.5"
"182";"Helsinki Kaisaniemi";"-0.9"
"192";"Helsinki Kaisaniemi";"-1.3"
"202";"Helsinki Kaisaniemi";"0.8"
"212";"Helsinki Kaisaniemi";"-0.4"
"222";"Helsinki Kaisaniemi";"-2.5"
"232";"Helsinki Kaisaniemi";"-3.3"
"242";"Helsinki Kaisaniemi";"0.5"
"252";"Helsinki Kaisaniemi";"-0.8"
"262";"Helsinki Kaisaniemi";"-1.9"
"272";"Helsinki Kaisaniemi";"-1.9"
"282";"Helsinki Kaisaniemi";"-2.3"
"292";"Helsinki Kaisaniemi";"-3.2"
"302";"Helsinki Kaisaniemi";"-12.6"
"312";"Helsinki Kaisaniemi";"-7.2"
"322";"Helsinki Kaisaniemi";"-3.6"
"332";"Helsinki Kaisaniemi";"-4.2"
"342";"Helsinki Kaisaniemi";"-2.6"
"352";"Helsinki Kaisaniemi";"-3.9"
"362";"Helsinki Kaisaniemi";"-3.6"
"372";"Helsinki Kaisaniemi";"0.6"
"382";"Helsinki Kaisaniemi";"1.6"
"392";"Helsinki Kaisaniemi";"0.7"
"402";"Helsinki Kaisaniemi";"0.2"
"412";"Helsinki Kaisaniemi";"-3.9"
"422";"Helsinki Kaisaniemi";"-5.1"
"432";"Helsinki Kaisaniemi";"-5.6"
"442";"Helsinki Kaisaniemi";"-6.6"
"452";"Helsinki Kaisaniemi";"-5.4"
"462";"Helsinki Kaisaniemi";"-8.1"
"472";"Helsinki Kaisaniemi";"-8.1"
"482";"Helsinki Kaisaniemi";"-7.8"
"492";"Helsinki Kaisaniemi";"-6.2"
"502";"Helsinki Kaisaniemi";"-3.3"
"512";"Helsinki Kaisaniemi";"-3.6"
"522";"Helsinki Kaisaniemi";"-3.2"
"532";"Helsinki Kaisaniemi";"-4.3"
"542";"Helsinki Kaisaniemi";"-1.9"
"552";"Helsinki Kaisaniemi";"0.4"
"562";"Helsinki Kaisaniemi";"-1.2"
"572";"Helsinki Kaisaniemi";"0.5"
"582";"Helsinki Kaisaniemi";"-4.4"
"592";"Helsinki Kaisaniemi";"-5.9"
"602";"Helsinki Kaisaniemi";"-4.9"
"612";"Helsinki Kaisaniemi";"-1.7"
"622";"Helsinki Kaisaniemi";"0.8"
"632";"Helsinki Kaisaniemi";"0.2"
"642";"Helsinki Kaisaniemi";"-0.8"
"652";"Helsinki Kaisaniemi";"-0.8"
"662";"Helsinki Kaisaniemi";"-3.3"
"672";"Helsinki Kaisaniemi";"-1.7"
"682";"Helsinki Kaisaniemi";"-1.0"
"692";"Helsinki Kaisaniemi";"0.0"
"702";"Helsinki Kaisaniemi";"-1.0"
"712";"Helsinki Kaisaniemi";"0.3"
"722";"Helsinki Kaisaniemi";"1.4"
"732";"Helsinki Kaisaniemi";"0.4"
"742";"Helsinki Kaisaniemi";"0.5"
"752";"Helsinki Kaisaniemi";"0.9"
"762";"Helsinki Kaisaniemi";"1.2"
"772";"Helsinki Kaisaniemi";"0.2"
"782";"Helsinki Kaisaniemi";"-0.5"
"792";"Helsinki Kaisaniemi";"2.0"
"802";"Helsinki Kaisaniemi";"-0.7"
"812";"Helsinki Kaisaniemi";"-2.6"
"822";"Helsinki Kaisaniemi";"-2.4"
"832";"Helsinki Kaisaniemi";"-4.7"
"842";"Helsinki Kaisaniemi";"-5.1"
"852";"Helsinki Kaisaniemi";"-5.0"
"862";"Helsinki Kaisaniemi";"-0.8"
"872";"Helsinki Kaisaniemi";"1.7"
"882";"Helsinki Kaisaniemi";"1.0"
"892";"Helsinki Kaisaniemi";"3.2"
"902";"Helsinki Kaisaniemi";"3.1"
"912";"Helsinki Kaisaniemi";"1.9"
"922";"Helsinki Kaisaniemi";"6.7"
"932";"Helsinki Kaisaniemi";"2.5"
"942";"Helsinki Kaisaniemi";"3.2"
"952";"Helsinki Kaisaniemi";"3.3"
"962";"Helsinki Kaisaniemi";"1.2"
"972";"Helsinki Kaisaniemi";"1.7"
"982";"Helsinki Kaisaniemi";"3.1"
"992";"Helsinki Kaisaniemi";"3.9"
"1002";"Helsinki Kaisaniemi";"4.0"
"1012";"Helsinki Kaisaniemi";"2.0"
"1022";"Helsinki Kaisaniemi";"1.8"
"1032";"Helsinki Kaisaniemi";"3.8"
"1042";"Helsinki Kaisaniemi";"4.9"
"1052";"Helsinki Kaisaniemi";"1.4"
"1062";"Helsinki Kaisaniemi";"3.9"
"1072";"Helsinki Kaisaniemi";"1.8"
"1082";"Helsinki Kaisaniemi";"1.5"
"1092";"Helsinki Kaisaniemi";"3.5"
"1102";"Helsinki Kaisaniemi";"1.2"
"1112";"Helsinki Kaisaniemi";"3.3"
"1122";"Helsinki Kaisaniemi";"6.1"
"1132";"Helsinki Kaisaniemi";"7.9"
"1142";"Helsinki Kaisaniemi";"7.8"
"1152";"Helsinki Kaisaniemi";"9.2"
"1162";"Helsinki Kaisaniemi";"10.9"
"1172";"Helsinki Kaisaniemi";"11.2"
"1182";"Helsinki Kaisaniemi";"10.4"
"1192";"Helsinki Kaisaniemi";"6.9"
"1202";"Helsinki Kaisaniemi";"8.9"
"1212";"Helsinki Kaisaniemi";"10.2"
"1222";"Helsinki Kaisaniemi";"9.9"
"1232";"Helsinki Kaisaniemi";"9.1"
"1242";"Helsinki Kaisaniemi";"8.4"
"1252";"Helsinki Kaisaniemi";"7.8"
"1262";"Helsinki Kaisaniemi";"9.8"
"1272";"Helsinki Kaisaniemi";"10.2"
"1282";"Helsinki Kaisaniemi";"8.5"
"1292";"Helsinki Kaisaniemi";"9.9"
"1302";"Helsinki Kaisaniemi";"8.5"
"1312";"Helsinki Kaisaniemi";"10.4"
"1322";"Helsinki Kaisaniemi";"11.1"
"1332";"Helsinki Kaisaniemi";"9.2"
"1342";"Helsinki Kaisaniemi";"9.3"
"1352";"Helsinki Kaisaniemi";"8.2"
"1362";"Helsinki Kaisaniemi";"10.2"
"1372";"Helsinki Kaisaniemi";"11.0"
"1382";"Helsinki Kaisaniemi";"11.2"
"1392";"Helsinki Kaisaniemi";"10.5"
"1402";"Helsinki Kaisaniemi";"9.2"
"1412";"Helsinki Kaisaniemi";"11.0"
